phase,frame,turningRadius,rearBodyPosX,rearBodyPosY,rearBodyHeading,centerOfRotationX,centerOfRotationY,jointAngle
FORWARD.STOPPED.STEERING,101,7.61126,1.29519,-0.0847702,-0.0487812,1.69321,7.51739,-0.571088
FORWARD.STOPPED.STEERING,102,7.52256,1.30914,-0.0854755,-0.0485717,1.70126,7.42817,-0.57692
FORWARD.STOPPED.STEERING,103,7.43556,1.32309,-0.086179,-0.0483553,1.70937,7.34065,-0.58275
FORWARD.STOPPED.STEERING,104,7.35013,1.33704,-0.0868762,-0.0481313,1.71755,7.25471,-0.588581
FORWARD.STOPPED.STEERING,105,7.26624,1.35098,-0.0875722,-0.0479051,1.72581,7.1703,-0.594413
FORWARD.STOPPED.STEERING,106,7.18378,1.3649,-0.0882653,-0.0476668,1.73406,7.08732,-0.600251
FORWARD.STOPPED.STEERING,107,7.10294,1.37878,-0.0889572,-0.0474262,1.74238,7.00597,-0.606077
FORWARD.STOPPED.STEERING,108,7.02338,1.39263,-0.0896553,-0.0471695,1.75066,6.92589,-0.611913
FORWARD.STOPPED.STEERING,109,6.94536,1.40643,-0.0903518,-0.046908,1.75896,6.84735,-0.617737
FORWARD.STOPPED.STEERING,110,6.86848,1.42019,-0.0910472,-0.0466353,1.76723,6.76995,-0.623576
FORWARD.STOPPED.STEERING,111,6.79286,1.43389,-0.0917384,-0.0463557,1.77551,6.69381,-0.629419
FORWARD.STOPPED.STEERING,112,6.71853,1.44755,-0.0924282,-0.0460689,1.78379,6.61896,-0.635261
FORWARD.STOPPED.STEERING,113,6.64543,1.46114,-0.0931242,-0.0457651,1.792,6.54533,-0.641102
FORWARD.STOPPED.STEERING,114,6.57329,1.47468,-0.093806,-0.0454576,1.80021,6.47268,-0.646964
FORWARD.STOPPED.STEERING,115,6.50219,1.48817,-0.0944757,-0.0451438,1.80842,6.40109,-0.652836
FORWARD.STOPPED.STEERING,116,6.43214,1.50161,-0.0951374,-0.0448219,1.81663,6.33053,-0.658718
FORWARD.STOPPED.STEERING,117,6.36318,1.515,-0.0957989,-0.0444878,1.8248,6.26109,-0.664602
FORWARD.STOPPED.STEERING,118,6.29535,1.52834,-0.0964666,-0.044139,1.83291,6.19275,-0.670483
FORWARD.STOPPED.STEERING,119,6.22861,1.54162,-0.0971492,-0.0437727,1.84097,6.1255,-0.676361
FORWARD.STOPPED.STEERING,120,6.16295,1.55486,-0.0978529,-0.0433889,1.84897,6.0593,-0.682235
FORWARD.STOPPED.STEERING,121,6.09835,1.56806,-0.0985791,-0.0429852,1.8569,5.99415,-0.688105
FORWARD.STOPPED.STEERING,122,6.03478,1.58121,-0.0993298,-0.0425632,1.86477,5.92999,-0.693969
FORWARD.STOPPED.STEERING,123,5.97223,1.59432,-0.100105,-0.0421206,1.87259,5.86684,-0.699827
FORWARD.STOPPED.STEERING,124,5.9107,1.6074,-0.100903,-0.0416569,1.88033,5.80468,-0.705677
FORWARD.STOPPED.STEERING,125,5.85021,1.62044,-0.101719,-0.0411689,1.88801,5.74354,-0.711513
FORWARD.STOPPED.STEERING,126,5.79077,1.63345,-0.10255,-0.0406579,1.89562,5.68344,-0.717331
FORWARD.STOPPED.STEERING,127,5.73247,1.64642,-0.103388,-0.0401188,1.90314,5.62447,-0.72312
FORWARD.STOPPED.STEERING,128,5.67539,1.65936,-0.10423,-0.0395495,1.91057,5.56672,-0.728868
FORWARD.STOPPED.STEERING,129,5.61971,1.67226,-0.105062,-0.038942,1.91786,5.51039,-0.734553
